eps,delta_depolarising,delta_amp_damp,delta_coherent_X_q0,C_G_depolarising,C_G_amp_damp,C_G_coherent_X_q0
0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.015,1.192282475751578e-17,0.0019360042756007309,0.00561103553302868,0.9999999999999999,0.990366679219864,0.9723347141617815
0.03,9.773070269691024e-18,0.0038985554520655787,0.011213278354112989,1.0,0.9806959784748358,0.9454763619568854
0.045,1.1741151327949578e-17,0.0058876183237457315,0.016797957646806982,0.9999999999999999,0.9709909882608118,0.9194406451598723
0.06,1.2930229372380512e-17,0.007903121546190628,0.02235634634305449,0.9999999999999999,0.9612549508648657,0.8942394203050629
0.075,1.0231461834323544e-17,0.009944955131981492,0.027879782890992213,1.0,0.9514912620217255,0.8698809511502675
0.09,1.5728695817952073e-17,0.012012967857580117,0.0333596928954331,0.9999999999999999,0.9417034722221301,0.8463701678042975
0.105,1.0361750361269317e-17,0.014106964584964658,0.03878761058917545,1.0,0.9318952876412241,0.8237089290297517
0.12,1.025994639211666e-17,0.016226703502892723,0.04415520009378375,1.0,0.9220705706546461,0.8018962845655261
0.135,1.492151432855485e-17,0.018371893293806313,0.04945427642911307,0.9999999999999999,0.9122333399096818,0.7809287346562055
0.15,1.7319461415050586e-17,0.020542190233677475,0.054676826231600514,0.9999999999999999,0.9023877699188045,0.7608004843200735
0.16499999999999998,1.3724592882855877e-17,0.02273719523348964,0.059815028142222365,0.9999999999999999,0.8925381901431548,0.7415036902270705
0.18,1.604645669959558e-17,0.02495645083255714,0.06486127282601634,0.9999999999999999,0.8826890835340293,0.7230286983868035
0.195,1.5644270218706745e-17,0.027199438155505375,0.06980818258619315,0.9999999999999999,0.8728450845013022,0.7053642711598713
0.21,1.9809816691764958e-17,0.02946557384646101,0.07464863053711243,0.9999999999999999,0.8630109762789083,0.6884978023995425
0.22499999999999998,1.2753516112909799e-17,0.03175420699583328,0.0793757593017723,0.9999999999999999,0.8531916876590994,0.6724155198023642
0.24,1.7499029141580542e-17,0.034064616076992266,0.08398299920096272,0.9999999999999999,0.8433922890691792,0.6571026737936376
0.255,1.6386413539599267e-17,0.03639600591216221,0.08846408590285983,0.9999999999999999,0.8336179879668408,0.6425437124956852
0.27,1.7183089502845323e-17,0.03874750468892743,0.09281307750359334,0.9999999999999999,0.8238741235330892,0.6287224425230025
0.285,2.2797968811486156e-17,0.04111816105088277,0.09702437101120047,0.9999999999999999,0.8141661606450576,0.6156221755188448
0.3,1.590134199438489e-17,0.043506941288123845,0.10109271820739632,0.9999999999999999,0.8044996831148172,0.6032258604931819
